"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Metrología y Calidad";"Laboratorio";"09:30";"13:30";"Online/Presencial en laboratorio";"";"M406";1;"56IM"
"Lunes";"Diseño Mecánico";"Laboratorio";"09:30";"13:30";"Online";"";"M406";1;"56IM"
"Lunes";"Oficina Técnica";"Acciones Cooperativas";"12:00";"14:00";"Online";"";"M406";1;"56IM"
"Lunes";"Metrología y Calidad";"Teoría y Problemas";"15:00";"17:00";"Online";"";"M406";1;"56IM"
"Lunes";"Motores Alternativos";"Teoría y Problemas";"17:30";"18:30";"Online";"";"M406";1;"56IM"
"Lunes";"Sistemas de Fabricación Flexible";"Laboratorio";"18:30";"20:30";"Online";"";"M406";1;"56IM"
"Lunes";"Instalaciones Industriales y en Edificios II";"Teoría y Problemas";"18:30";"20:30";"Online";"";"M406";1;"56IM"
"Martes";"Motores Alternativos";"Laboratorio";"09:30";"13:30";"Online/Presencial en laboratorio";"";"M406";1;"56IM"
"Martes";"Metrología y Calidad";"Laboratorio";"09:30";"13:30";"Online/Presencial en laboratorio";"";"M406";1;"56IM"
"Martes";"Sistemas de Fabricación Flexible";"Laboratorio";"11:30";"14:00";"Online/A25+A26";"";"M406";1;"56IM"
"Martes";"Estructuras de Hormigón";"Teoría y Problemas";"14:30";"16:30";"A10+A11";"";"M406";1;"56IM"
"Martes";"Oficina Técnica";"Acciones Cooperativas";"16:00";"17:00";"Online";"";"M406";1;"56IM"
"Martes";"Sistemas Constructivos y Ejecución de Obras";"Teoría y Problemas";"17:00";"18:00";"A12";"";"M406";1;"56IM"
"Martes";"Oficina Técnica";"Acciones Cooperativas";"17:30";"18:30";"Online";"";"M406";1;"56IM"
"Martes";"Sistemas de Fabricación Flexible";"Teoría y Problemas";"18:30";"20:30";"Online";"";"M406";1;"56IM"
"Miércoles";"Ingeniería de Fabricación";"Laboratorio";"09:30";"13:30";"A23+A24";"";"M406";1;"56IM"
"Miércoles";"Oficina Técnica";"Acciones Cooperativas";"12:00";"14:00";"Online";"";"M406";1;"56IM"
"Miércoles";"Oficina Técnica";"Acciones Cooperativas";"15:00";"17:00";"Online";"";"M406";1;"56IM"
"Miércoles";"Motores Alternativos";"Teoría y Problemas";"17:30";"19:30";"Online";"";"M406";1;"56IM"
"Miércoles";"Instalaciones Industriales y en Edificios II";"Teoría y Problemas";"17:30";"19:30";"Online";"";"M406";1;"56IM"
"Miércoles";"Elementos Finitos y Vibraciones Mecánicas";"Teoría y Problemas";"19:30";"21:30";"Online";"";"M406";1;"56IM"
"Jueves";"Ingeniería de Fabricación";"Laboratorio";"09:30";"13:30";"Online";"";"M406";1;"56IM"
"Jueves";"Sistemas de Fabricación Flexible";"Laboratorio";"09:30";"13:30";"Online";"";"M406";1;"56IM"
"Jueves";"Ingeniería de Fabricación";"Teoría y Problemas";"15:00";"17:00";"Online";"";"M406";1;"56IM"
"Jueves";"Ingeniería de Fabricación";"Teoría y Problemas";"17:30";"18:30";"Online";"";"M406";1;"56IM"
"Jueves";"Elementos Finitos y Vibraciones Mecánicas";"Teoría y Problemas";"18:30";"20:30";"Online";"";"M406";1;"56IM"
"Jueves";"Diseño Mecánico";"Teoría y Problemas";"20:30";"21:30";"Online";"";"M406";1;"56IM"
"Viernes";"Estructuras de Hormigón";"Teoría y Problemas";"08:30";"09:30";"A10+A11";"";"M406";1;"56IM"
"Viernes";"Estructuras de Hormigón";"Laboratorio";"09:30";"11:30";"A10+A11";"";"M406";1;"56IM"
"Viernes";"Sistemas Constructivos y Ejecución de Obras";"Teoría y Problemas";"11:30";"13:30";"A12";"";"M406";1;"56IM"
"Viernes";"Motores Alternativos";"Laboratorio";"11:30";"13:30";"Presencial en laboratorio";"";"M406";1;"56IM"
"Viernes";"Elementos Finitos y Vibraciones Mecánicas";"Teoría y Problemas";"15:00";"17:00";"Online/Presencial laboratorio";"";"M406";1;"56IM"
"Viernes";"Metrología y Calidad";"Laboratorio";"11:30";"13:30";"Online/Presencial laboratorio";"";"M406";1;"56IM"
"Viernes";"Instalaciones Industriales y en Edificios II";"Teoría y Problemas";"15:30";"17:00";"Online";"";"M406";1;"56IM"
"Viernes";"Diseño Mecánico";"Teoría y Problemas";"17:30";"20:30";"Online";"";"M406";1;"56IM"
"Viernes";"Instalaciones Industriales y en Edificios II";"Teoría y Problemas";"17:30";"19:30";"Online";"";"M406";1;"56IM"
